level,body_interspace,vertebral_number,approach,superior_endplate_y,inferior_endplate_y,superior_endplate_inferior_body_y,inferior_endplate_superior_body_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x
T11,body,18,posterior,0.465,0.445,,,0.482,0.47,0.484,0.481,0.46,0.428,0.447,0.447,0.46,0.447,0.475,0.438,0.425,0.491
T12,body,19,posterior,0.44,0.41,,,0.484,0.47,0.484,0.447,0.427,0.393,0.411,0.411,0.427,0.411,0.48,0.4,0.385,0.492
L1,body,20,posterior,0.4,0.37,,,0.484,0.46,0.484,0.411,0.389,0.355,0.375,0.375,0.389,0.375,0.48,0.367,0.352,0.491
L2,body,21,posterior,0.36,0.33,,,0.484,0.45,0.482,0.375,0.353,0.32,0.343,0.343,0.353,0.343,0.475,0.33,0.314,0.489
L3,body,22,posterior,0.32,0.29,,,0.482,0.445,0.48,0.343,0.318,0.284,0.301,0.301,0.318,0.301,0.471,0.291,0.278,0.486
L4,body,23,posterior,0.28,0.25,,,0.48,0.44,0.478,0.301,0.276,0.248,0.261,0.261,0.276,0.261,0.473,0.252,0.241,0.487
L5,body,24,posterior,0.24,0.215,,,0.478,0.44,0.475,0.261,0.238,0.213,0.228,0.228,0.238,0.228,0.466,0.224,0.209,0.48
S1,body,25,posterior,0.2,0.19,,,0.475,0.44,0.46,0.228,0.197,0.17,0.19,0.2,0.197,0.19,,,,
Iliac,body,26,posterior,,,,,,,,,,,,,,,,,,
S2AI,body,27,posterior,,,,,,,,,,,,,,,,,,
C1-C2,interspace,1.5,posterior,0.88,0.875,,,,,,,,,,,,,,,,
C2-C3,interspace,2.5,posterior,0.86,0.855,,,,,,,,,,,,,,,,
C3-C4,interspace,3.5,posterior,0.84,0.835,,,,,,,,,,,,,,,,
C4-C5,interspace,4.5,posterior,0.82,0.815,,,,,,,,,,,,,,,,
C5-C6,interspace,5.5,posterior,0.806,0.8,,,,,,,,,,,,,,,,
C6-C7,interspace,6.5,posterior,0.806,0.8,,,,,,,,,,,,,,,,
C7-T1,interspace,7.5,posterior,0.761,0.755,,,,,,,,,,,,,,,,
T1-T2,interspace,8.5,posterior,0.74,0.735,,,,,,,,,,,,,,,,
T2-T3,interspace,9.5,posterior,0.72,0.71,,,,,,,,,,,,,,,,
T3-T4,interspace,10.5,posterior,0.69,0.68,,,,,,,,,,,,,,,,
T4-T5,interspace,11.5,posterior,0.665,0.655,,,,,,,,,,,,,,,,
T5-T6,interspace,12.5,posterior,0.635,0.625,,,,,,,,,,,,,,,,
T6-T7,interspace,13.5,posterior,0.6,0.59,,,,,,,,,,,,,,,,
T7-T8,interspace,14.5,posterior,0.57,0.56,,,,,,,,,,,,,,,,
T8-T9,interspace,15.5,posterior,0.54,0.53,,,,,,,,,,,,,,,,
T9-T10,interspace,16.5,posterior,0.51,0.5,,,,,,,,,,,,,,,,
T10-T11,interspace,17.5,posterior,0.475,0.465,,,,,,,,,,,,,,,,
T11-T12,interspace,18.5,posterior,0.445,0.44,,,,,,,,,,,,,,,,
T12-L1,interspace,19.5,posterior,0.41,0.4,,,,,,,,,,,,,,,,
L1-L2,interspace,20.5,posterior,0.37,0.36,,,,,,,,,,,,,,,,
L2-L3,interspace,21.5,posterior,0.33,0.32,,,,,,,,,,,,,,,,
L3-L4,interspace,22.5,posterior,0.29,0.28,,,,,,,,,,,,,,,,
L4-L5,interspace,23.5,posterior,0.25,0.24,,,,,,,,,,,,,,,,
L5-S1,interspace,24.5,posterior,0.215,0.2,,,,,,,,,,,,,,,,
